,index,sample_size_method,num_trees,max_depth,feat_choice,fold_num,auc
436,1,full,100,500,sqrt,2,0.694607657842952
437,2,full,100,500,sqrt,3,0.7015836121889332
438,3,full,100,500,sqrt,4,0.7149535924199296
439,4,full,100,500,sqrt,5,0.711160666062911
440,0,full,100,500,half_sqrt,1,0.6420597768739715
441,1,full,100,500,half_sqrt,2,0.6641195437986881
442,2,full,100,500,half_sqrt,3,0.6708335889322414
443,3,full,100,500,half_sqrt,4,0.6779229876599117
444,4,full,100,500,half_sqrt,5,0.686414147677874
445,0,full,100,500,2sqrt,1,0.7211971790533483
446,1,full,100,500,2sqrt,2,0.7434559947928933
447,2,full,100,500,2sqrt,3,0.7393487511156471
448,3,full,100,500,2sqrt,4,0.7354545976802359
449,4,full,100,500,2sqrt,5,0.734903786163493
450,0,full,100,1000,sqrt,1,0.6941936039765675
451,1,full,100,1000,sqrt,2,0.694607657842952
452,2,full,100,1000,sqrt,3,0.7015836121889332
453,3,full,100,1000,sqrt,4,0.7149535924199296
454,4,full,100,1000,sqrt,5,0.711160666062911
455,0,full,100,1000,half_sqrt,1,0.6420597768739715
456,1,full,100,1000,half_sqrt,2,0.6641195437986881
457,2,full,100,1000,half_sqrt,3,0.6708335889322414
458,3,full,100,1000,half_sqrt,4,0.6779229876599117
459,4,full,100,1000,half_sqrt,5,0.686414147677874
460,0,full,100,1000,2sqrt,1,0.7211971790533483
461,1,full,100,1000,2sqrt,2,0.7434559947928933
462,2,full,100,1000,2sqrt,3,0.7393487511156471
463,3,full,100,1000,2sqrt,4,0.7354545976802359
464,4,full,100,1000,2sqrt,5,0.734903786163493
465,0,full,100,3000,sqrt,1,0.6941936039765675
466,1,full,100,3000,sqrt,2,0.694607657842952
467,2,full,100,3000,sqrt,3,0.7015836121889332
468,3,full,100,3000,sqrt,4,0.7149535924199296
469,4,full,100,3000,sqrt,5,0.711160666062911
470,0,full,100,3000,half_sqrt,1,0.6420597768739715
471,1,full,100,3000,half_sqrt,2,0.6641195437986881
472,2,full,100,3000,half_sqrt,3,0.6708335889322414
473,3,full,100,3000,half_sqrt,4,0.6779229876599117
474,4,full,100,3000,half_sqrt,5,0.686414147677874
475,0,full,100,3000,2sqrt,1,0.7211971790533483
476,1,full,100,3000,2sqrt,2,0.7434559947928933
477,2,full,100,3000,2sqrt,3,0.7393487511156471
478,3,full,100,3000,2sqrt,4,0.7354545976802359
479,4,full,100,3000,2sqrt,5,0.734903786163493
480,0,full,300,100,sqrt,1,0.6983012447324766
481,1,full,300,100,sqrt,2,0.7053151839248096
482,2,full,300,100,sqrt,3,0.718089796446647
483,3,full,300,100,sqrt,4,0.7127297467087707
