,threshold,tpr,fpr,accuracy,f1-measure,precision,recall,learning_rate
87,0.87,0.356819650937298,0.028974800952146433,0.9018208302986161,0.45024469820554647,0.6099447513812155,0.356819650937298,1.0
88,0.88,0.3471234647705236,0.025691537388163835,0.9036416605972324,0.4480600750938673,0.6317647058823529,0.3471234647705236,1.0
89,0.89,0.33031674208144796,0.024214068784371667,0.9030589949016752,0.43433914152146197,0.6339950372208437,0.33031674208144796,1.0
90,0.9,0.31997414350355524,0.021915784289583847,0.9039329934450109,0.4287570376786487,0.6496062992125984,0.31997414350355524,1.0
91,0.91,0.2979961215255333,0.019453336616596897,0.9036416605972324,0.41069042316258353,0.660458452722063,0.2979961215255333,1.0
92,0.92,0.28312863606981253,0.016662562587211688,0.9044428259286235,0.40036563071297987,0.6833073322932918,0.28312863606981253,1.0
93,0.93,0.25210084033613445,0.015267175572519083,0.9021849963583394,0.3674046161092793,0.6770833333333334,0.25210084033613445,1.0
94,0.94,0.21654815772462832,0.012968891077731266,0.9002184996358339,0.3284313725490196,0.6795131845841785,0.21654815772462832,1.0
95,0.95,0.17517776341305752,0.010752688172043012,0.897523670793882,0.2780913288866085,0.6741293532338308,0.17517776341305752,1.0
96,0.96,0.13574660633484162,0.008126077320856932,0.8954115076474872,0.22629310344827586,0.6796116504854369,0.13574660633484162,1.0
97,0.97,0.10213316095669037,0.004924895345973898,0.8944646758922068,0.17903682719546743,0.7247706422018348,0.10213316095669037,1.0
98,0.98,0.08274078862314156,0.002626610851186079,0.8943190094683175,0.14997070884592853,0.8,0.08274078862314156,1.0
99,0.99,0.058177117000646414,0.0016416317819912994,0.8924253459577567,0.10863005431502716,0.8181818181818182,0.058177117000646414,1.0
100,1.0,0.0,0.0,0.8873270211216314,,,0.0,1.0
0,0.0,1.0,1.0,0.11267297887836854,0.20252667408522618,0.11267297887836854,1.0,10.0
1,0.01,0.9851325145442793,0.3419519001887876,0.6949016751638747,0.4211689926765234,0.26783831282952547,0.9851325145442793,10.0
2,0.02,0.9819004524886877,0.3263563982598703,0.7083758193736344,0.43141153081510936,0.2764331210191083,0.9819004524886877,10.0
3,0.03,0.978021978021978,0.32061068702290074,0.7130371449380918,0.43439563594602354,0.27920280494556193,0.978021978021978,10.0
4,0.04,0.9760827407886231,0.3153574653205286,0.7174799708667152,0.43774460066676335,0.2821375186846039,0.9760827407886231,10.0
5,0.05,0.9754363283775048,0.31215628334564555,0.7202476329206118,0.44000583175389996,0.2840737951807229,0.9754363283775048,10.0
6,0.06,0.9741435035552682,0.3105967331527538,0.7214857975236708,0.44077215560105293,0.28482328482328484,0.9741435035552682,10.0
7,0.07,0.9741435035552682,0.3087909381925634,0.7230881281864531,0.44219483568075113,0.2860125260960334,0.9741435035552682,10.0
8,0.08,0.9741435035552682,0.3076417959451695,0.7241077931536781,0.4431049691267275,0.2867745004757374,0.9741435035552682,10.0
9,0.09,0.9741435035552682,0.306410572108676,0.7252002913328478,0.44408427876823336,0.2875954198473282,0.9741435035552682,10.0
10,0.1,0.97349709114415,0.30542559303948125,0.7260014566642389,0.44464127546501336,0.2881193801415726,0.97349709114415,10.0
11,0.11,0.97349709114415,0.30493310350488384,0.7264384559359067,0.44503546099290775,0.28845048841218157,0.97349709114415,10.0
12,0.12,0.9728506787330317,0.3046047771484856,0.7266569555717407,0.44506875646902266,0.2885352760736196,0.9728506787330317,10.0
13,0.13,0.9728506787330317,0.3043585323811869,0.7268754552075747,0.4452662721893491,0.2887013236140418,0.9728506787330317,10.0
14,0.14,0.9715578539107951,0.3038660428465895,0.7271667880553533,0.4452014218009478,0.2887608069164265,0.9715578539107951,10.0
15,0.15,0.9702650290885585,0.3033735533119921,0.7274581209031318,0.44513641755634636,0.2888204733500096,0.9702650290885585,10.0
16,0.16,0.9702650290885585,0.3028810637773947,0.7278951201747997,0.4455327990501632,0.28915430552879984,0.9702650290885585,10.0
17,0.17,0.9683257918552036,0.3025527374209965,0.7279679533867444,0.44510473926608224,0.28896604938271603,0.9683257918552036,10.0
18,0.18,0.967032967032967,0.30206024788639907,0.728259286234523,0.4450394169269671,0.2890262751159196,0.967032967032967,10.0
19,0.19,0.967032967032967,0.3018140031191004,0.7284777858703568,0.44523809523809527,0.2891938913589793,0.967032967032967,10.0
20,0.2,0.967032967032967,0.3016498399409013,0.7286234522942462,0.4453706460256029,0.2893057435699091,0.967032967032967,10.0
